Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
51,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
52,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
53,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
54,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
55,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
56,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
57,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
58,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
59,Impetigo,Red sores, Itching, Blisters, Skin crusting
60,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
61,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
62,Influenza,Fever, Chills, Body aches, Sore throat
63,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
64,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
65,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
66,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
67,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
68,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
69,Malaria,High fever, Chills, Sweating, Muscle pain
70,Measles,Fever, Rash, Cough, Runny nose
71,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
72,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
73,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
74,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
75,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
76,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
77,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
78,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
79,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
80,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
81,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
82,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
83,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
84,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
85,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
86,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
87,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
88,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
89,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
90,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
91,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
92,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
93,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
94,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
95,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
96,Typhoid,High fever, Weakness, Abdominal pain, Rash
97,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
98,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
99,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
100,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
101,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
102,AIDS,Fever, Fatigue, Weight loss, Frequent infections
103,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
104,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
105,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
106,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
107,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
108,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
109,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
110,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
111,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
112,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
113,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
114,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
115,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
116,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
117,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
118,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
119,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
120,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
121,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
122,Common Cold,Sneezing, Runny nose, Sore throat, Cough
123,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
124,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
125,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
126,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
127,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
128,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
129,Dermatitis,Itching, Redness, Swelling, Skin irritation
130,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
131,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
132,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
133,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
134,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
135,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
136,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
137,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
138,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
139,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
140,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
141,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
142,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
143,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
144,Gout,Joint pain, Redness, Swelling, Warmth
145,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
146,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
147,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
148,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
149,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
150,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
151,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
152,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
153,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
154,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
155,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
156,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
157,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
158,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
159,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
160,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
161,Impetigo,Red sores, Itching, Blisters, Skin crusting
162,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
163,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
164,Influenza,Fever, Chills, Body aches, Sore throat
165,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
166,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
167,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
168,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
169,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
170,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
171,Malaria,High fever, Chills, Sweating, Muscle pain
172,Measles,Fever, Rash, Cough, Runny nose
173,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
174,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
175,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
176,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
177,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
178,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
179,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
180,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
181,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
182,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
183,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
184,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
185,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
186,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
187,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
188,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
189,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
190,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
191,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
192,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
193,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
194,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
195,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
196,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
197,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
198,Typhoid,High fever, Weakness, Abdominal pain, Rash
199,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
200,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
201,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
202,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
203,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
204,AIDS,Fever, Fatigue, Weight loss, Frequent infections
205,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
206,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
207,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
208,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
209,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
210,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
211,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
212,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
213,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
214,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
215,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
216,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
217,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
218,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
219,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
220,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
221,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
222,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
223,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
224,Common Cold,Sneezing, Runny nose, Sore throat, Cough
225,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
226,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
227,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
228,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
229,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
230,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
231,Dermatitis,Itching, Redness, Swelling, Skin irritation
232,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
233,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
234,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
235,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
236,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
237,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
238,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
239,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
240,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
241,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
242,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
243,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
244,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
245,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
246,Gout,Joint pain, Redness, Swelling, Warmth
247,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
248,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
249,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
250,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
251,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
252,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
253,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
254,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
255,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
256,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
257,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
258,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
259,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
260,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
261,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
262,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
263,Impetigo,Red sores, Itching, Blisters, Skin crusting
264,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
265,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
266,Influenza,Fever, Chills, Body aches, Sore throat
267,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
268,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
269,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
270,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
271,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
272,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
273,Malaria,High fever, Chills, Sweating, Muscle pain
274,Measles,Fever, Rash, Cough, Runny nose
275,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
276,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
277,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
278,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
279,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
280,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
281,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
282,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
283,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
284,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
285,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
286,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
287,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
288,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
289,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
290,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
291,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
292,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
293,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
294,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
295,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
296,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
297,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
298,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
299,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
300,Typhoid,High fever, Weakness, Abdominal pain, Rash
301,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
302,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
303,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
304,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
305,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
306,AIDS,Fever, Fatigue, Weight loss, Frequent infections
307,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
308,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
309,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
310,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
311,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
312,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
313,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
314,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
315,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
316,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
317,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
318,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
319,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
320,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
321,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
322,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
323,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
324,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
325,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
326,Common Cold,Sneezing, Runny nose, Sore throat, Cough
327,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
328,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
329,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
330,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
331,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
332,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
333,Dermatitis,Itching, Redness, Swelling, Skin irritation
334,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
335,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
336,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
337,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
338,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
339,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
340,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
341,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
342,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
343,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
344,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
345,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
346,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
347,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
348,Gout,Joint pain, Redness, Swelling, Warmth
349,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
350,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
351,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
352,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
353,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
354,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
355,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
356,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
357,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
358,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
359,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
360,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
361,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
362,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
363,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
364,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
365,Impetigo,Red sores, Itching, Blisters, Skin crusting
366,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
367,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
368,Influenza,Fever, Chills, Body aches, Sore throat
369,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
370,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
371,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
372,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
373,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
374,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
375,Malaria,High fever, Chills, Sweating, Muscle pain
376,Measles,Fever, Rash, Cough, Runny nose
377,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
378,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
379,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
380,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
381,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
382,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
383,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
384,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
385,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
386,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
387,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
388,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
389,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
390,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
391,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
392,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
393,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
